
"SongName","ArtistName","AlbumName"
"Flagpole Sitta","Harvey Danger","Dookie"
"Harder Than You Think","Public Enemy","How You Sell Soul to a Soulless People Who Sold Their Soul???"
"Suffocate","Green Day","Nimrod"
"Mathematics","Mos Def","Black on Both Sides"
"Helicopoter","Bloc Party","Silent Alarm"
"Re Your Brains","Jonathan Coulton","Thing a Week III"
"Platypus","Green Day","Nimrod"
"Fortunate Son","Creedence Clearwater Revival","Creedence Clearwater Revival"
"Hate It Or Love It","50 Cent","The Massacre"
"Desensitized","Green Day","Nimrod"
"New Slang","The Shins","Oh, Inverted World"
"Year 3000","Busted","Busted"
"I Am A Man Of Constant Sorrow","The Soggy Bottom Boys","O Brother Where Art Thou?"
"Grouch","Green Day","Nimrod"
"Changes","2Pac","2 Pac"
"Come Alive","Foo Fighters","Echoes, Silence, Patience & Grace"
"We Shall Overcome","Pete Seeger","If I Had a Hammer: Songs of Hope & Struggle"
"Tomorrow Is a Highway","Pete Seeger","If I Had a Hammer: Songs of Hope & Struggle"
"Thickfreakness","The Black Keys","Singles & Duplicates"
"Track 18","Green Day","Nimrod"
"One Man Wrecking Machine","Guster","Ganging Up on the Sun"
"Track 15","Green Day","Nimrod"
"Nice Guys Finish Last (Album Version)","Green Day","Nimrod"
"Prosthetic Head (Album Version)","Green Day","Nimrod"
"Redundant (Album Version)","Green Day","Nimrod"
"Jinx (Album Version)","Green Day","Nimrod"
"Hitchin' A Ride (Album Version)","Green Day","Nimrod"
"Walking Alone (Album Version)","Green Day","Nimrod"
"Worry Rock (Album Version)","Green Day","Nimrod"
"Take Back (Album Version)","Green Day","Nimrod"
"The Grouch (Album Version)","Green Day","Nimrod"
"Last Ride In (Album Version)","Green Day","Nimrod"
"Reject (Album Version)","Green Day","Nimrod"
"Haushinka (Album Version)","Green Day","Nimrod"
"King For A Day (Album Version)","Green Day","Nimrod"
"Platypus (I Hate You) (Album Version)","Green Day","Nimrod"
"Scattered (Album Version)","Green Day","Nimrod"
"All The Time (Album Version)","Green Day","Nimrod"
"Uptight (Album Version)","Green Day","Nimrod"
"Mrs. Robinson","The Lemonheads","It’s a Shame About Ray"
"Poprocks & Coke","Green Day","International Superhits"
"Stuck With Me","Green Day","International Superhits"
"Remember The Name (feat. Styles Of Beyond)","Fort Minor","The Rising Tied"
"J.A.R. (Jason Andrew Relva)","Green Day","International Superhits"
"'74-'75","The Connells","Ring"
"It's a Long Way to the Top (If You Wanna Rock 'n' Roll)","AC/DC","AC/DC in the 20th Century"
"The Way","Fastball","All the Pain Money Can Buy"
"Up the Junction","Squeeze","Cool for Cats"
"When the President Talks to God","Bright Eyes","Motion Sickness: Live Recordings"
"Thou Shalt Always Kill","Dan le Sac vs. Scroobius Pip","Thou Shalt Always Kill"
"Smoke Weed Everyday","Snoop Dogg","420station.com"
"Young Folks","The Kooks","Konk"
"Bad Boys For Life","P. Diddy","Bad_Boy_For_Life(Feat_Mark_Curry_Black_Rob_CDS)"
"Wayfaring Stranger","Johnny Cash","Man in Black"
"Hitchin’ a Ride","Green Day","Nimrod"
"Cassius","Foals","Antidotes"
"California Uber Alles","Dead Kennedys","Frankenchrist"
"Tribute","Tenatious D",""
